Age,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Gender_Male,EducationBackground_Life Sciences,EducationBackground_Marketing,EducationBackground_Medical,EducationBackground_Other,EducationBackground_Technical Degree,MaritalStatus_Married,MaritalStatus_Single,EmpDepartment_Development,EmpDepartment_Finance,EmpDepartment_Human Resources,EmpDepartment_Research & Development,EmpDepartment_Sales,EmpJobRole_Data Scientist,EmpJobRole_Delivery Manager,EmpJobRole_Developer,EmpJobRole_Finance Manager,EmpJobRole_Healthcare Representative,EmpJobRole_Human Resources,EmpJobRole_Laboratory Technician,EmpJobRole_Manager,EmpJobRole_Manager R&D,EmpJobRole_Manufacturing Director,EmpJobRole_Research Director,EmpJobRole_Research Scientist,EmpJobRole_Sales Executive,EmpJobRole_Sales Representative,EmpJobRole_Senior Developer,EmpJobRole_Senior Manager R&D,EmpJobRole_Technical Architect,EmpJobRole_Technical Lead,BusinessTravelFrequency_Travel_Frequently,BusinessTravelFrequency_Travel_Rarely,OverTime_Yes,Attrition_Yes,PerformanceRating
58,23,4,1,88,3,1,3,1.0,12,4,2.0,3.0,3,2.0,2.0,2.0,2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
31,8,2,4,96,4,1,2,8.5,18,4,8.0,3.0,3,3.0,2.0,0.0,2.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
36,1,2,2,56,3,2,4,1.0,14,4,18.0,1.0,2,18.0,14.0,4.0,11.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
19,22,1,4,50,3,1,3,1.0,19,4,0.0,2.0,2,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
30,8,2,3,62,3,3,3,5.0,11,1,10.0,2.0,4,8.0,4.0,7.0,7.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
48,7,2,4,95,3,1,3,2.0,11,3,19.0,3.0,3,9.0,7.0,7.0,7.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
27,2,4,2,41,3,1,2,1.0,11,3,6.0,3.0,2,5.0,3.0,1.0,2.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,3,3,4,98,3,4,2,3.0,18,3,21.0,4.5,3,7.0,7.0,1.0,0.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
38,12,3,1,45,2,2,1,2.0,15,3,13.0,3.0,2,4.0,3.0,1.0,2.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,24,3,2,100,4,4,2,4.0,16,4,22.0,2.0,2,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
47,25,3,1,84,3,3,3,2.0,23,2,25.0,3.0,3,17.0,14.0,7.5,11.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,28,2,4,59,4,4,3,2.0,11,2,24.0,3.0,2,5.0,3.0,0.0,2.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
40,2,1,2,89,4,2,3,5.0,20,2,15.0,0.5,3,12.0,11.0,7.5,8.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,3,4,4,92,3,3,4,6.0,13,2,12.0,2.0,3,10.0,9.0,0.0,8.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
41,9,4,3,94,3,1,1,2.0,21,4,7.0,2.0,3,5.0,0.0,1.0,4.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
43,7,3,3,43,3,3,1,8.0,16,1,10.0,1.0,2,1.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
38,10,4,3,73,2,3,3,0.0,14,2,9.0,2.0,3,8.0,7.0,2.0,7.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
35,15,2,1,59,1,2,4,6.0,14,4,7.0,2.0,2,2.0,2.0,2.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
19,9,2,3,54,3,1,1,1.0,25,3,1.0,4.0,3,1.0,1.0,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
43,6,4,2,50,2,4,4,4.0,14,3,21.0,3.0,2,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
34,10,4,4,92,2,2,3,1.0,14,2,8.0,3.0,2,8.0,2.0,7.0,7.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,1,4,2,88,3,1,2,3.0,22,3,7.0,3.0,3,4.0,2.0,0.0,3.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
28,8,2,4,66,3,1,4,1.0,21,4,5.0,3.0,3,5.0,3.0,0.0,2.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
47,4,3,3,92,2,3,2,8.0,12,3,28.0,4.0,3,20.5,11.0,7.5,10.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
31,4,3,1,62,4,1,3,8.0,12,2,4.0,0.5,2,2.0,2.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,24,3,3,50,2,1,3,5.0,14,2,6.0,4.0,3,4.0,2.0,0.0,3.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
29,9,4,4,43,3,1,3,8.5,17,3,9.0,2.0,3,5.0,3.0,1.0,2.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
30,8,3,3,66,2,1,4,6.0,11,3,6.0,0.5,2,4.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
41,20,2,2,70,3,1,2,1.0,22,4,4.0,4.5,2,4.0,3.0,0.0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
48,16,4,3,96,3,2,3,8.0,14,3,18.0,2.0,3,8.0,7.0,7.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
33,4,3,4,90,3,2,2,5.0,15,4,11.0,2.0,2,9.0,8.0,1.0,7.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34,8,3,2,82,4,2,3,2.0,12,1,6.0,3.0,4,4.0,3.0,1.0,2.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
46,2,2,4,82,3,3,4,3.0,14,3,12.0,4.0,2,9.0,8.0,4.0,7.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
46,9,2,3,64,2,3,4,1.0,16,4,9.0,3.0,3,9.0,8.0,4.0,7.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
25,10,4,3,57,3,2,4,0.0,14,2,5.0,4.0,3,4.0,3.0,1.0,1.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
27,8,1,3,84,3,2,4,0.0,19,2,5.0,3.0,3,4.0,2.0,1.0,1.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
47,27,2,2,77,4,2,3,4.0,12,4,8.0,2.0,3,5.0,4.0,1.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
18,8,1,3,80,3,1,3,1.0,12,4,0.0,0.5,3,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35,7,1,4,76,3,1,3,1.0,13,1,1.0,3.0,3,1.0,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
52,1,2,4,70,3,4,4,2.0,15,2,26.0,2.0,2,9.0,8.0,7.0,8.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
45,10,2,1,69,3,1,4,3.0,21,4,8.0,3.0,2,2.0,2.0,0.0,2.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
51,6,3,1,51,3,5,3,7.0,13,3,23.0,4.5,3,20.0,14.5,7.5,14.5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41,10,4,2,73,2,5,4,3.0,15,2,23.0,2.0,2,20.5,6.0,7.5,6.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
55,1,2,1,70,3,3,4,3.0,14,4,24.0,4.0,3,1.0,0.0,1.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
44,1,2,3,99,3,1,2,1.0,12,3,6.0,2.0,2,5.0,3.0,2.0,3.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
31,7,3,4,73,3,2,4,4.0,12,4,13.0,3.0,3,7.0,7.0,1.0,7.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
36,2,1,2,94,2,2,4,1.0,21,4,10.0,2.0,2,10.0,1.0,0.0,8.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
24,3,2,1,33,3,2,3,0.0,21,1,4.0,2.0,2,3.0,2.0,0.0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
32,16,1,2,72,1,1,1,1.0,22,2,10.0,4.5,3,10.0,2.0,6.0,7.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
49,7,3,2,31,2,3,3,8.0,24,3,26.0,2.0,3,5.0,2.0,0.0,0.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
32,10,3,3,64,3,3,4,2.0,25,2,10.0,4.5,4,5.0,2.0,0.0,0.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
44,3,4,4,35,3,5,4,4.0,12,1,26.0,2.0,4,2.0,2.0,0.0,1.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
28,2,2,3,38,2,1,1,7.0,11,3,8.0,2.0,2,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
42,2,4,3,81,3,2,4,1.0,13,2,10.0,4.0,3,10.0,2.0,2.0,2.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
50,2,4,1,98,3,4,1,1.0,11,4,28.5,3.0,3,20.5,6.0,7.5,7.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,26,1,1,31,3,1,3,1.0,17,4,5.0,1.0,2,5.0,2.0,4.0,3.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,5,5,3,50,1,2,1,1.0,14,1,10.0,3.0,3,10.0,7.0,1.0,4.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
39,10,1,3,99,3,4,1,1.0,14,4,21.0,3.0,3,20.5,9.0,7.5,10.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
