iter	Passed	Remaining
0	16	5067
1	31	4680
2	45	4523
3	58	4339
4	72	4258
5	85	4188
6	99	4178
7	112	4121
8	126	4077
9	138	4015
10	151	3978
11	164	3950
12	177	3909
13	188	3860
14	205	3906
15	218	3869
16	230	3840
17	244	3826
18	256	3790
19	269	3766
20	283	3760
21	297	3762
22	310	3735
23	322	3708
24	334	3681
25	347	3658
26	359	3637
27	373	3627
28	388	3633
29	405	3645
30	417	3624
31	430	3602
32	443	3591
33	456	3573
34	475	3601
35	490	3599
36	507	3610
37	520	3587
38	533	3570
39	547	3559
40	561	3546
41	575	3535
42	589	3523
43	605	3522
44	620	3516
45	634	3502
46	648	3488
47	661	3472
48	676	3464
49	688	3444
50	701	3423
51	715	3411
52	729	3400
53	743	3387
54	758	3376
55	772	3364
56	785	3350
57	799	3337
58	815	3330
59	828	3312
60	842	3300
61	854	3282
62	868	3267
63	883	3256
64	896	3241
65	909	3223
66	923	3211
67	935	3192
68	949	3178
69	963	3166
70	978	3155
71	992	3143
72	1005	3125
73	1019	3112
74	1034	3103
75	1047	3087
76	1060	3070
77	1073	3055
78	1086	3038
79	1098	3021
80	1111	3004
81	1123	2986
82	1136	2970
83	1148	2952
84	1160	2934
85	1173	2920
86	1188	2908
87	1199	2890
88	1213	2876
89	1227	2863
90	1239	2846
91	1251	2830
92	1263	2813
93	1276	2797
94	1289	2782
95	1302	2767
96	1315	2752
97	1334	2750
98	1350	2741
99	1380	2760
100	1404	2766
101	1428	2772
102	1447	2768
103	1464	2760
104	1486	2760
105	1504	2752
106	1521	2744
107	1537	2733
108	1552	2720
109	1567	2707
110	1582	2694
111	1603	2691
112	1625	2689
113	1644	2683
114	1661	2672
115	1677	2661
116	1694	2651
117	1711	2639
118	1723	2621
119	1735	2603
120	1747	2585
121	1760	2568
122	1772	2550
123	1784	2532
124	1798	2517
125	1810	2499
126	1822	2482
127	1835	2467
128	1848	2450
129	1860	2433
130	1874	2418
131	1887	2402
132	1900	2386
133	1911	2368
134	1924	2352
135	1936	2335
136	1949	2319
137	1961	2302
138	1973	2285
139	1986	2270
140	2000	2255
141	2013	2240
142	2026	2224
143	2039	2209
144	2052	2194
145	2065	2178
146	2078	2162
147	2091	2147
148	2104	2133
149	2118	2118
150	2131	2103
151	2145	2089
152	2160	2075
153	2172	2059
154	2185	2044
155	2198	2028
156	2213	2015
157	2225	2000
158	2238	1985
159	2251	1969
160	2269	1959
161	2284	1946
162	2302	1935
163	2315	1919
164	2327	1904
165	2342	1891
166	2354	1875
167	2367	1860
168	2381	1845
169	2396	1832
170	2409	1817
171	2421	1801
172	2433	1786
173	2444	1770
174	2456	1754
175	2470	1740
176	2482	1725
177	2494	1709
178	2506	1694
179	2519	1679
180	2532	1664
181	2545	1650
182	2557	1634
183	2569	1620
184	2582	1605
185	2595	1591
186	2608	1575
187	2620	1561
188	2632	1546
189	2644	1531
190	2658	1516
191	2670	1502
192	2683	1487
193	2698	1474
194	2711	1460
195	2724	1445
196	2736	1430
197	2748	1415
198	2761	1401
199	2772	1386
200	2784	1371
201	2797	1357
202	2809	1342
203	2822	1328
204	2836	1314
205	2849	1300
206	2861	1285
207	2873	1270
208	2885	1256
209	2898	1242
210	2910	1227
211	2922	1213
212	2934	1198
213	2946	1184
214	2958	1169
215	2969	1154
216	2981	1140
217	2994	1126
218	3006	1111
219	3018	1097
220	3029	1083
221	3041	1068
222	3055	1055
223	3067	1040
224	3080	1026
225	3092	1012
226	3104	998
227	3117	984
228	3131	970
229	3144	956
230	3156	942
231	3169	929
232	3193	918
233	3210	905
234	3232	894
235	3250	881
236	3273	870
237	3298	859
238	3320	847
239	3341	835
240	3359	822
241	3375	808
242	3391	795
243	3406	781
244	3422	768
245	3436	754
246	3451	740
247	3477	729
248	3494	715
249	3511	702
250	3529	688
251	3544	675
252	3559	661
253	3572	646
254	3586	632
255	3598	618
256	3611	604
257	3623	589
258	3635	575
259	3647	561
260	3659	546
261	3673	532
262	3684	518
263	3696	504
264	3709	489
265	3722	475
266	3734	461
267	3747	447
268	3760	433
269	3772	419
270	3785	405
271	3798	390
272	3810	376
273	3823	362
274	3835	348
275	3847	334
276	3859	320
277	3871	306
278	3884	292
279	3896	278
280	3909	264
281	3922	250
282	3933	236
283	3946	222
284	3959	208
285	3972	194
286	3985	180
287	3997	166
288	4008	152
289	4021	138
290	4033	124
291	4045	110
292	4059	96
293	4071	83
294	4084	69
295	4096	55
296	4109	41
297	4121	27
298	4133	13
299	4145	0
