iter	Passed	Remaining
0	156	46880
1	165	24676
2	173	17128
3	180	13333
4	187	11050
5	194	9525
6	201	8438
7	208	7617
8	215	6981
9	223	6472
10	232	6104
11	240	5772
12	247	5472
13	254	5207
14	261	4976
15	269	4784
16	276	4604
17	283	4447
18	291	4304
19	298	4175
20	305	4055
21	312	3950
22	319	3851
23	327	3762
24	334	3678
25	341	3603
26	349	3530
27	356	3465
28	364	3404
29	372	3356
30	388	3375
31	396	3321
32	403	3268
33	411	3217
34	418	3169
35	425	3120
36	432	3077
37	440	3034
38	447	2996
39	454	2956
40	461	2918
41	469	2884
42	477	2851
43	484	2817
44	491	2786
45	498	2754
46	506	2724
47	513	2695
48	521	2670
49	529	2647
50	537	2624
51	546	2606
52	553	2581
53	562	2560
54	570	2539
55	579	2526
56	588	2509
57	598	2495
58	606	2476
59	616	2465
60	623	2443
61	633	2432
62	641	2412
63	649	2394
64	656	2373
65	666	2361
66	673	2342
67	681	2326
68	689	2307
69	697	2292
70	704	2273
71	713	2260
72	720	2241
73	729	2228
74	736	2209
75	744	2195
76	751	2177
77	760	2163
78	767	2147
79	776	2134
80	783	2117
81	791	2103
82	799	2089
83	807	2077
84	816	2064
85	823	2050
86	831	2035
87	839	2021
88	846	2007
89	855	1995
90	862	1981
91	871	1969
92	879	1956
93	886	1942
94	894	1930
95	901	1916
96	915	1915
97	923	1903
98	930	1889
99	938	1877
100	946	1864
101	953	1851
102	961	1838
103	968	1825
104	976	1814
105	984	1800
106	992	1790
107	999	1776
108	1007	1765
109	1014	1752
110	1023	1743
111	1031	1731
112	1040	1721
113	1048	1711
114	1056	1699
115	1063	1686
116	1070	1674
117	1077	1662
118	1086	1651
119	1093	1640
120	1101	1629
121	1109	1618
122	1116	1606
123	1123	1594
124	1130	1582
125	1137	1571
126	1145	1560
127	1152	1549
128	1159	1537
129	1166	1525
130	1173	1514
131	1180	1503
132	1188	1492
133	1196	1481
134	1204	1471
135	1211	1460
136	1218	1449
137	1226	1439
138	1234	1429
139	1241	1419
140	1249	1409
141	1256	1398
142	1263	1387
143	1270	1376
144	1278	1366
145	1285	1355
146	1292	1345
147	1299	1335
148	1307	1325
149	1315	1315
150	1322	1305
151	1329	1294
152	1336	1284
153	1343	1274
154	1351	1264
155	1358	1253
156	1365	1243
157	1372	1233
158	1379	1223
159	1386	1213
160	1393	1203
161	1401	1193
162	1408	1184
163	1416	1174
164	1422	1164
165	1430	1155
166	1440	1147
167	1448	1137
168	1454	1127
169	1461	1117
170	1468	1108
171	1476	1098
172	1483	1088
173	1490	1079
174	1497	1069
175	1504	1059
176	1511	1050
177	1518	1040
178	1525	1030
179	1532	1021
180	1539	1012
181	1547	1003
182	1554	993
183	1562	985
184	1570	975
185	1577	966
186	1584	957
187	1591	948
188	1599	939
189	1607	930
190	1614	921
191	1621	912
192	1628	903
193	1637	894
194	1645	885
195	1652	876
196	1659	867
197	1667	858
198	1674	849
199	1682	841
200	1690	832
201	1698	823
202	1705	814
203	1714	806
204	1723	798
205	1731	790
206	1739	781
207	1747	772
208	1754	764
209	1762	755
210	1770	746
211	1778	738
212	1786	729
213	1795	721
214	1802	712
215	1812	704
216	1819	696
217	1827	687
218	1835	678
219	1843	670
220	1852	662
221	1860	653
222	1868	645
223	1877	637
224	1885	628
225	1893	619
226	1900	611
227	1909	602
228	1916	594
229	1923	585
230	1932	577
231	1941	569
232	1949	560
233	1957	552
234	1964	543
235	1972	534
236	1979	526
237	1986	517
238	1995	509
239	2002	500
240	2012	492
241	2020	484
242	2029	476
243	2037	467
244	2046	459
245	2056	451
246	2065	443
247	2075	435
248	2083	426
249	2092	418
250	2100	409
251	2108	401
252	2116	393
253	2126	385
254	2134	376
255	2143	368
256	2152	360
257	2161	351
258	2169	343
259	2178	335
260	2188	327
261	2196	318
262	2204	310
263	2211	301
264	2219	293
265	2227	284
266	2235	276
267	2243	267
268	2251	259
269	2259	251
270	2267	242
271	2275	234
272	2283	225
273	2292	217
274	2300	209
275	2308	200
276	2317	192
277	2325	183
278	2333	175
279	2340	167
280	2348	158
281	2355	150
282	2363	142
283	2371	133
284	2378	125
285	2387	116
286	2394	108
287	2402	100
288	2410	91
289	2419	83
290	2426	75
291	2435	66
292	2442	58
293	2450	50
294	2457	41
295	2465	33
296	2473	24
297	2482	16
298	2490	8
299	2498	0
